variable,unit,n_days,rmse,mae,bias,persistence_rmse,persistence_mae,skill_vs_persistence_mse,max_abs_error
Q850,kg/kg,119,0.00046002062747779585,0.0003718098981634659,-0.0002160321964154474,0.0010330971059639663,0.0007890975259307052,0.8017230078067511,0.0011488678865134716
T850,K,119,1.1941557439437815,0.9140750660615808,-0.4492646545923057,3.413331026124964,2.586231391970851,0.8776045912047745,3.94879150390625
U850,m/s,119,1.928082145681996,1.5625897488173317,0.04701320639177531,4.522947458955612,3.639512170763577,0.8182778022670891,5.509635925292969
Z500,m,119,7.829308960343594,6.0773432735812,-1.5432613585781692,69.77205129158014,53.35715963104607,0.9874083141390143,20.00157418690378
