init_time,valid_time,lead_hours,variable,source_variable,level_hpa,unit,rmse,mae,bias,mse,persistence_rmse,persistence_mae,persistence_mse,skill_vs_persistence_mse
2012-01-01T00:00:00,2012-01-01T06:00:00,6,Z500,geopotential,500,m,4.944284642280737,3.8952211683192526,0.7043068453907483,24.44595062389315,23.504929340463125,17.601819872087432,552.4817033001643,0.9557524702123726
2012-01-01T00:00:00,2012-01-01T06:00:00,6,T850,temperature,850,K,0.6933317379202202,0.49346496567943743,0.004515970257441341,0.4807088988074728,1.4847421226500455,0.974223233056134,2.2044591707713628,0.7819379441537727
2012-01-01T00:00:00,2012-01-01T06:00:00,6,U850,u_component_of_wind,850,m/s,1.4339715010502627,1.043968567645436,0.01291664507646093,2.0562742658243436,3.016199037699715,1.9851046398022842,9.097456635020688,0.7739726224240839
2012-01-01T00:00:00,2012-01-01T06:00:00,6,Q850,specific_humidity,850,kg/kg,0.0007397546678771363,0.0004885522177087117,-2.3124849536003784e-05,5.472369686460123e-07,0.0012759776652091863,0.0007972746336501931,1.6281190021126863e-06,0.6638839249858859
